timeA,accx,accY,accZ,timeG,gyrX,gyrY,gyrZ
1433849123101, 0.0034748018, -0.007192254, -0.08178711, 1433849123192, -111.87246, -6.0140424, 1.9940187
1433849123120, -0.027865946, -0.013415337, -0.004137993, 1433849123302, -111.029106, -6.0507746, 2.1537924
1433849123130, 0.038998783, 0.0045907497, 0.019674301, 1433849123386, -112.38389, -5.8761005, 2.0395076
1433849123140, 0.008214682, -0.011650443, 0.008077621, 1433849123478, -112.119156, -5.99659, 2.043438
1433849123148, -0.008751154, -0.01698172, 0.060091972, 1433849123577, -112.63753, -5.948053, 1.9349324
1433849123152, -0.029985249, 0.009399056, 0.009766579, 1433849123688, -111.994, -5.985346, 1.9844303
1433849123156, 0.014319003, 0.007519245, 0.023136139, 1433849123790, -111.9507, -6.0452104, 2.0965972
1433849123175, -0.0038676858, -0.0016460419, 0.010847092, 1433849123876, -112.29843, -5.8815117, 2.0965972
1433849123181, 0.004567325, -0.001316905, -0.014307022, 1433849123968, -112.06699, -5.953556, 1.9920936
1433849123198, 0.0036538541, 0.00660789, -0.03442955, 1433849124058, -112.01299, -6.0563426, 2.2110941
1433849123202, 0.0029231012, -0.01769805, -0.06585121, 1433849124173, -112.014275, -5.99659, 2.043438
1433849123207, -0.020645857, 0.0011645555, -0.00671196, 1433849124263, -112.140625, -5.9362936, 2.041471
1433849123228, 0.00646767, -0.0067299604, 0.025276184, 1433849124361, -112.16169, -5.984511, 2.204716
1433849123237, -0.0024873316, -0.0053839684, 0.0048980713, 1433849124476, -112.05614, -5.9963827, 2.098617
1433849123247, -0.024974197, -0.011968613, 0.026903152, 1433849124573, -111.99251, -6.0449963, 2.1517193
1433849123255, 0.01066643, -0.0019134283, 0.029183388, 1433849124665, -112.16165, -5.947451, 2.100641
1433849123260, -0.006789744, 0.013792276, 0.031007767, 1433849124760, -112.0668, -5.9906554, 2.096597
1433849123279, -0.0054317713, -0.0042891502, 0.032467842, 1433849124860, -112.04467, -6.0249667, 2.1642175
1433849123292, -0.012006879, 0.0118916035, 0.002989769, 1433849124976, -111.920425, -6.002728, 1.9349324
1433849123308, -0.0019440651, 0.009513259, -0.0665617, 1433849125078, -112.140495, -5.9588566, 2.1047006
1433849123317, -0.009216666, 0.0076105595, -0.076233864, 1433849125171, -111.998375, -6.080842, 2.261245
1433849123320, 0.007949561, -0.009234548, -0.0073566437, 1433849125282, -112.08804, -5.9792337, 2.0925686
1433849123340, -0.0013017654, -0.007387638, 0.024760246, 1433849125366, -112.21451, -5.9415536, 2.1537924
1433849123348, 0.0066200197, 0.0017514229, 0.01214695, 1433849125467, -111.782104, -6.105795, 2.043438
1433849123356, -0.010026872, 0.009062529, 0.04036331, 1433849125576, -112.087555, -6.001908, 2.1558695
1433849123361, -0.015682936, -0.00041139126, 0.03229046, 1433849125667, -111.96148, -6.039443, 2.0945811
1433849123366, -0.0048848987, 0.007332325, 0.0028476715, 1433849125774, -112.05472, -6.042154, 2.2261202
1433849123370, -0.003907919, -0.0017956495, 0.0329237, 1433849125864, -112.16165, -5.947451, 2.100641
1433849123377, 0.012196541, -0.016759515, 0.018677711, 1433849125963, -111.875984, -6.099538, 2.1517193
1433849123406, 0.0020958185, -0.0057462454, 0.0072803497, 1433849126066, -112.39347, -5.8380814, 2.100641
1433849123411, 0.0016766787, -0.004597068, -0.086112976, 1433849126189, -113.481, -5.606289, 2.8405907
1433849123419, 0.0013413429, 0.0039838552, 6.2942505e-05, 1433849126280, -113.40803, -5.5701675, 2.65922
1433849123422, 0.008734524, 0.0031870604, 0.023034096, 1433849126392, -112.0006, -6.0340686, 2.1314743
1433849123428, 0.0069876313, 0.01021111, -0.012218475, 1433849126481, -111.99052, -6.054041, 2.1747441
1433849123431, 0.013251573, -0.007154107, 0.005548477, 1433849126570, -112.000305, -6.071392, 2.236979
1433849123449, 0.0029397905, -0.0133847, 0.019761086, 1433849126672, -112.383705, -5.88109, 2.2068377
1433849123462, 0.0023518503, 0.019938111, 0.0004863739, 1433849126765, -109.21993, -6.001464, 2.2663145
1433849123466, 0.0018814802, 0.0006276369, 0.008050919, 1433849126866, -110.08898, -5.9468, 2.2663145
1433849123485, -0.013817668, 0.008163571, 0.0064411163, 1433849126962, -109.823944, -6.001908, 2.1558695
1433849123488, -0.0033926964, -0.0011305809, 0.0051527023, 1433849127062, -110.37265, -5.8979917, 2.213228
1433849123509, 0.004947275, 0.006757021, -0.10313797, 1433849127176, -109.72815, -6.001688, 2.2110941
1433849123520, 0.0116193, -0.0022557974, -0.04420376, 1433849127292, -108.73779, -6.0367804, 2.1128664
1433849123527, -0.00602746, -0.009466171, 0.041251183, 1433849127382, -108.92062, -5.929552, 2.3148348
1433849123530, -0.004821956, 8.85725e-05, 0.025339127, 1433849127477, -110.08846, -6.0076556, 2.1579504
1433849123535, 0.011465341, 0.007732272, 0.004948616, 1433849127565, -110.1395, -6.001688, 2.2110941
1433849123552, 0.0015108287, -0.009137154, 0.026943207, 1433849127672, -110.20439, -5.936089, 2.0965972
1433849123560, 0.008870125, 0.0003517866, 0.006231308, 1433849127775, -109.04505, -6.0340962, 1.9825239
1433849123567, 0.014757544, -0.007380128, 0.0049848557, 1433849127900, -109.502014, -5.779942, 1.437227
